item_id,title,short_description,long_description,predictions,unitsOfMeasure,last_updated_at
34950388,"Bodycology Scarlet Kiss Fragrance Mist, 8 fl oz","<p>Turn heads with our intoxicating fragrance made with rich pomegranate, luscious peach and warm vanilla. Be confident, and you're sure to be a showstopper!</p>","<B>Bodycology Scarlet Kiss Fragrance Mist, 8 fl oz:</b><ul><li>For a splash of fragrance and energy, spritz lightly on wrists, neck and shoulders.<li>Top Notes: Juicy Pomegranate, Peach Skin, Macintosh Apple<li>Middle Notes: Red Peony, Osmanthus, Marshmallow Creme<li>Dry Notes: Rich, Vanilla Rum, Oakwood, Scarlet Musk</ul>",None,,1477580877398
151604229,"Mio Shrink To Fit Cellulite Smoother, 3.4 fl.oz.","Shrink to fit cellulite smoother, 3.4 ounce. This product is incredibly effective cellulite blasting serum set in a richly moisturizing cream. Double whammy, smooth &quot;orange peel free&quot; legs wrapped in soft, toned nourished skin. It is packed with the most effective, expensive cellulite busters, circulation stimulators and antioxidants. All at very, very high levels to ensure we have made the very best anti cellulite cream we possibly could. French ingredients proven in lab tasting to break down unsightly fat clumps, shrink their size and then help prevent new fat cells from forming.","Shrink to fit cellulite smoother, 3.4 ounce. This product is incredibly effective cellulite blasting serum set in a richly moisturizing cream. Double whammy, smooth &quot;orange peel free&quot; legs wrapped in soft, toned nourished skin. It is packed with the most effective, expensive cellulite busters, circulation stimulators and antioxidants. All at very, very high levels to ensure we have made the very best anti cellulite cream we possibly could. French ingredients proven in lab tasting to break down unsightly fat clumps, shrink their size and then help prevent new fat cells from forming.<br /><ul><li>Tightens and firms skin to reduce dimpling</li><li>Massage in vigorously for best results</li><li>You'll see a visible smoothing of cellulite</li><li></li><li></li></ul>",None,,1477598507125
156745311,Christian Audigier Ed Hardy Eau De Toilette Spray 1.7 Oz,"Representing the tiger tatoo, opening like a mint julep cocktail.","Representing the tiger tatoo, opening like a mint julep cocktail.",None,,1473164276293
45274799,Disinfecting Office Cleaner MMMCL574CT,Cleans and disinfects against bacteria on non-porous office surfaces. Application: Disinfectant/Cleaner Applicable Material: Ceramics Enamel Fiberglass Glass Grout Laminates Metal Plaster Plastic Vinyl Dirt Types: Bacteria Dust Germs Grease Grime Water-Based Soil Scent: Fresh Citrus.,Cleans and disinfects against bacteria on non-porous office surfaces. Application: Disinfectant/Cleaner Applicable Material: Ceramics Enamel Fiberglass Glass Grout Laminates Metal Plaster Plastic Vinyl Dirt Types: Bacteria Dust Germs Grease Grime Water-Based Soil Scent: Fresh Citrus.,citrus,,1477016187877
193737348,(6 Pack) Frigidaire PAULTRA Compatilbe Refrigerator Air and Odor Filters OPF-EAF1,(6 Pack) Frigidaire PAULTRA Compatilbe Refrigerator Air and Odor Filters OPF-EAF1,The Electrolux and Frigidaire Comparable Refrigerator Air Filter will keep your refrigerator smelling clean and fresh by eliminating bad odors. <p>Our filters are manufactured in the USA and have a 30 Day no exuses return policy.,None,,1476418209209
28585932,Shalimar Parfum Initial L'eau,Shalimar Parfum Initial L'eau by Guerlain for Women - 2 oz EDT Spray,"Launched by Guerlain in the year 2012. This feminine fragrance features a blend of neroli, bergamot, orange, grapefruit, jasmine, iris, hyacinth, rose, freesia, lily, vanilla and tonka bean. It is recommended for summer wear.",None,,1470660614143
199067641,"Natures Bounty Earthly Elements Aromatheraphy Essential Oil Lavender, 0.34 oz",Fresh floral character with soothing undertones used for tranquility and serenity.,"UPC: 074312600159 - Natures Bounty Earthly Elements Aromatheraphy Essential Oil Lavender, 0.34 oz - Fresh floral character with soothing undertones used for tranquility and serenity. - <strong>Warning</strong>: </p><p>Californiai?1/2_Ts Proposition 65 Warning: May This item contains chemicals known to cause cancer, birth defects, or other reproductive harm. Reference by California Office of Environmental Health Hazard Assessment (OEHHA) at: www.oehha.ca.gov/prop65/prop65_list/Newlist.html.</p>",None,,1474540660994
39991884,Hugo Deodorant Spray 3.5-Oz,Hugo Deodorant Spray 3.5-Oz,"<ul><li>Launched By The Design House Of Hugo Boss  In 1995. Hugo Deodorant Spray 3.5 Oz  For Men Possesses A Blend Of: Woods, Fresh Citrus And Spicy Leaves. Recommended For Daytime Use.</ul>",None,,1470592763560
113779759,Adf's Body Spray Mascolino .5 Oz Trial Size,short description is not available,Adf's Body Spray Mascolino .5 Oz Trial Size,None,,1477010313259
52409138,"Vitabath for Unisex Plus For Dry Skin Everyday Set, 3 pc","<p>Vitabath for Unisex Plus For Dry Skin is infused with a soothing fragrance of rich jasmine, fresh violet and soft white musk. Formulated with vitamin A, which helps to moisturize and aids in making skin look and feel better.</p>","<B>Vitabath for Unisex Plus For Dry Skin Everyday Set, 3 pc:</b><ul><li>Introduced by the design house of Vitabath<li>Formulated with Vitamin A, which helps to moisturize and aids in making skin look and feel better</ul>",None,,1477559530684
